country_code,country_name,region,PBI_2023
BRA,Brazil,AMÉRICA  DEL  SUR,10377.5892792557
CHL,Chile,AMÉRICA  DEL  SUR,17067.0364799154
PRY,Paraguay,AMÉRICA  DEL  SUR,6299.99026533643
USA,United States,AMÉRICA  DEL  NORTE,82304.6204272866
ESP,Spain,EUROPA  OCCIDENTAL,33509.0127982139
CHN,China,ASIA,12951.1782397043
DEU,Germany,EUROPA  OCCIDENTAL,53940.4073447462
BOL,Bolivia,AMÉRICA  DEL  SUR,3686.27996442176
URY,Uruguay,AMÉRICA  DEL  SUR,23019.4221560046
TUR,Turkiye,EUROPA  OCCIDENTAL,13105.6585004778
IND,India,ASIA,2530.12031278204
ISR,Israel,ASIA,52003.7200729997
ECU,Ecuador,AMÉRICA  DEL  SUR,6737.84748379638
CAN,Canada,AMÉRICA  DEL  NORTE,54220.3285039875
ZAF,South Africa,ÁFRICA  SUBSAHARIANA,6022.54254192335
PER,Peru,AMÉRICA  DEL  SUR,7887.54185920108
GBR,United Kingdom,EUROPA  OCCIDENTAL,49200.8101526146
MEX,Mexico,AMÉRICA  DEL  NORTE,13826.1306570122
ITA,Italy,EUROPA  OCCIDENTAL,39065.4244365633
AUS,Australia,OCEANÍA,64835.9199754535
ARG,Argentina,AMÉRICA  DEL  SUR,14187.4827252965
AGO,Angola,ÁFRICA  SUBSAHARIANA,2309.53413042773
SAU,Saudi Arabia,ASIA,36156.848337701
DZA,Algeria,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,5364.02795022731
ARM,Armenia,ASIA,8125.27395754003
SYR,Syrian Arab Republic,ASIA,847.372723418531
AZE,Azerbaijan,ASIA,7133.02838048328
BGD,Bangladesh,ASIA,2551.01773827307
BRB,Barbados,AMÉRICA  CENTRAL  Y  CARIBE,23804.0249914995
BEL,Belgium,EUROPA  OCCIDENTAL,54690.0942734964
BGR,Bulgaria,EUROPA  CENTRAL  Y  ORIENTAL,15883.8618545581
CZE,Czechia,EUROPA  CENTRAL  Y  ORIENTAL,31591.0568216357
COL,Colombia,AMÉRICA  DEL  SUR,7000.83660501046
KOR,"Korea, Rep.",ASIA,33121.3712885508
CUB,Cuba,AMÉRICA  CENTRAL  Y  CARIBE,9605.26125067263
DNK,Denmark,EUROPA  OCCIDENTAL,68453.8769281145
DOM,Dominican Republic,AMÉRICA  CENTRAL  Y  CARIBE,10630.431743829
ARE,United Arab Emirates,ASIA,49040.6947521035
EGY,"Egypt, Arab Rep.",ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,3456.78968456253
ETH,Ethiopia,ÁFRICA  SUBSAHARIANA,1011.07332413462
PHL,Philippines,ASIA,3804.08274131097
FIN,Finland,EUROPA  OCCIDENTAL,52821.5114340717
FRA,France,EUROPA  OCCIDENTAL,44690.9345395117
RUS,Russian Federation,EUROPA  CENTRAL  Y  ORIENTAL,14159.3876953125
GRC,Greece,EUROPA  OCCIDENTAL,23400.7278817691
GTM,Guatemala,AMÉRICA  CENTRAL  Y  CARIBE,5758.30876298845
GUY,Guyana,AMÉRICA  CENTRAL  Y  CARIBE,20473.7002190617
HTI,Haiti,AMÉRICA  CENTRAL  Y  CARIBE,1705.75808460999
HND,Honduras,AMÉRICA  CENTRAL  Y  CARIBE,3227.45762509776
IRN,"Iran, Islamic Rep.",ASIA,4465.63766853306
IRL,Ireland,EUROPA  OCCIDENTAL,103887.800388081
IDN,Indonesia,ASIA,4876.30774512252
JAM,Jamaica,AMÉRICA  CENTRAL  Y  CARIBE,6839.72502408181
JPN,Japan,ASIA,33836.1756271617
KEN,Kenya,ÁFRICA  SUBSAHARIANA,1952.30457929636
KWT,Kuwait,ASIA,34075.8490439847
LBY,Libya,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,6172.81246940233
LBN,Lebanon,ASIA,3477.72489842684
LCA,St. Lucia,AMÉRICA  CENTRAL  Y  CARIBE,13554.7684784933
MAR,Morocco,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,3771.4462890625
MOZ,Mozambique,ÁFRICA  SUBSAHARIANA,622.985619320596
MYS,Malaysia,ASIA,11379.0851923557
NIC,Nicaragua,AMÉRICA  CENTRAL  Y  CARIBE,2609.44492072931
NGA,Nigeria,ÁFRICA  SUBSAHARIANA,1596.63696129001
NOR,Norway,EUROPA  OCCIDENTAL,87497.3289297342
NZL,New Zealand,OCEANÍA,48654.904227478
CHE,Switzerland,EUROPA  OCCIDENTAL,100631.802755125
PAK,Pakistan,ASIA,1365.16927410976
NLD,Netherlands,EUROPA  OCCIDENTAL,64572.0059558854
PAN,Panama,AMÉRICA  CENTRAL  Y  CARIBE,18686.4050961265
POL,Poland,EUROPA  CENTRAL  Y  ORIENTAL,22145.2643088909
PRT,Portugal,EUROPA  OCCIDENTAL,27386.2920595024
QAT,Qatar,ASIA,80195.8746508549
CRI,Costa Rica,AMÉRICA  CENTRAL  Y  CARIBE,16942.0268119304
ROU,Romania,EUROPA  CENTRAL  Y  ORIENTAL,18404.2730871704
SLV,El Salvador,AMÉRICA  CENTRAL  Y  CARIBE,5365.44491399171
SEN,Senegal,ÁFRICA  SUBSAHARIANA,1698.03387300843
SRB,Serbia,EUROPA  CENTRAL  Y  ORIENTAL,12281.5058488303
SGP,Singapore,ASIA,85412.230345235
VAT,,EUROPA  OCCIDENTAL,
SWE,Sweden,EUROPA  OCCIDENTAL,55567.0890080496
SUR,Suriname,AMÉRICA  DEL  SUR,5494.07409425517
THA,Thailand,ASIA,7195.10130919449
AUT,Austria,EUROPA  OCCIDENTAL,56033.573792065
TTO,Trinidad and Tobago,AMÉRICA  CENTRAL  Y  CARIBE,18639.259241294
TUN,Tunisia,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,3950.3753419816
UKR,Ukraine,EUROPA  CENTRAL  Y  ORIENTAL,5139.59814453125
HUN,Hungary,EUROPA  CENTRAL  Y  ORIENTAL,22312.1790289763
VEN,"Venezuela, RB",AMÉRICA  DEL  SUR,15943.6127197163
VNM,Viet Nam,ASIA,4323.35031982451
PSE,West Bank and Gaza,ASIA,3455.02852911712
